attackid,nataque,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,sessionid,url
14230,138,medium,ZebraFeeds.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
44780,138,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
48010,138,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
15110,138,medium,iziContents.gsLanguage.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
14230,138,medium,ZebraFeeds.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
44780,139,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51138,80,ips,signature,7313,
29564,139,medium,PHP.Remote.Arbitrary.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51138,80,ips,signature,7313,
10819,139,high,PHP.Phorum.Arbitrary.Code.Execution,HTTP,172.16.1.2,172.16.2.2,51138,80,ips,signature,7313,
14737,139,low,phphtml.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51138,80,ips,signature,7313,
44780,139,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51138,80,ips,signature,7313,
44780,140,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51140,80,ips,signature,7314,
14953,140,low,Php.Blue.Dragon.Activecontent.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51140,80,ips,signature,7314,
44780,140,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51140,80,ips,signature,7314,
44780,141,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51142,80,ips,signature,7315,
48010,141,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51142,80,ips,signature,7315,
44780,141,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51142,80,ips,signature,7315,
44780,142,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51144,80,ips,signature,7316,
48010,142,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51144,80,ips,signature,7316,
15114,142,medium,Helplink.Show.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51144,80,ips,signature,7316,
44780,142,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51144,80,ips,signature,7316,
48010,142,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51144,80,ips,signature,7316,
44780,143,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51146,80,ips,signature,7317,
